ï»¿PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
3548,Peninsula Dubai Residences - Tower 2,1499,DUBAI PENINSULA L.L.C,2025-03-03 00:00:00,2029-01-08 00:00:00,2025-04-10 15:04:16,Normal,850000000,205821503204.0,ACTIVE,0.15,2025-07-03 11:14:30,,"C:(2B+G+P1+L1 to L37+R) with Total 54 Units 
D:(2B+G+P1+L1 to L28+R) with Total 44 Units 

",Jumeirah Second,Dubai Municipality,0.0,0.0,0.0,102.0,
3550,Lume Residences,1615,S AND S REAL ESTATE DEVELOPMENT L.L.C,2025-06-30 00:00:00,2027-09-30 00:00:00,2025-04-23 09:50:59,Normal,65000000,12234611007.0,ACTIVE,0.38,2025-09-25 09:42:43,,Retail And Residential Building (G+5P+14F+R),Al Barsha South Fourth,Trakhees,0.0,0.0,0.0,182.0,
3551,Avenue Residence 8,2189,NABNI ALMUSTAQBAL PROPERTIES DEVELOPMENT L.L.C,2025-04-01 00:00:00,2028-06-30 00:00:00,2025-03-13 10:23:52,Normal,63000000,405913832602.0,ACTIVE,0.0,2025-02-07 15:47:40,,Ground + parking + 10 floors + Roof,Jabal Ali First,Trakhees,0.0,0.0,0.0,104.0,
3552,Binghatti Amberhall,1051,Binghatti Developers FZE,2025-02-15 00:00:00,2026-02-28 00:00:00,2025-03-03 10:53:59,Normal,335000000,9134025839065.0,ACTIVE,0.0,2025-02-10 11:32:35,,3B + G + 3P + 13 RESIDENTIAL FLOORS + ROOF,Al Barsha South Fourth,Trakhees,0.0,0.0,0.0,1157.0,
3553,Chelsea Gardens,2193,ALAIA DEVELOPMENTS L.L.C,2025-03-01 00:00:00,2027-02-28 00:00:00,2025-04-04 14:33:50,Normal,22000000,19500000748.0,ACTIVE,0.0,2025-02-05 17:10:06,,Residential Building (G+2P+8+ROOF),Al Satwa,Dubai Development Authority (DDA),0.0,0.0,0.0,59.0,
3554,Lumiere Heights,1907,A J G JADDAF REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2027-06-30 00:00:00,2025-03-10 10:30:10,Normal,50000000.0,1582165095201.0,ACTIVE,0.0,2025-06-02 11:08:49,,"3B+G+8F+R,The project designed to have a concrete structure and block with internal and external finishes.",Al Jadaf,Dubai Development Authority (DDA),0,0.0,0.0,124.0,
3555,LEVEN RESIDENCES,1283,METRICAL REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2027-11-15 00:00:00,2025-04-29 10:27:01,Normal,92500000.0,11929596920008.0,ACTIVE,0.0,2025-02-11 09:53:24,,Residential Building ( G+4P+19+R ),Al Barsha South Fifth,Trakhees,0,0.0,0.0,228.0,
3556,Trussardi Residences 2,1445,M I R A DEVELOPMENTS L.L.C,2025-06-01 00:00:00,2027-07-03 00:00:00,2025-03-04 14:06:34,Normal,239219650.0,3538470562404.0,ACTIVE,0.0,2025-02-11 18:41:33,,Mixed Use - 2 towers - G+2P+10+ROOF,Jabal Ali First,Trakhees,0,0.0,0.0,390.0,
3557,THE ELYSIAN,1934,NEW M F O U R REAL ESTATE DEVELOPMENT L.L.C,2025-04-01 00:00:00,2027-08-31 00:00:00,2025-08-19 10:22:58,Normal,35594500.0,200862862.0,ACTIVE,0.0,2025-02-12 12:22:37,,G+2P+8Floors+R Residential Buildings,Al Satwa,,0,0.0,0.0,84.0,
3558,Greenspoint 2,1155,EMAAR DUBAI SOUTH DWC LLC,2025-01-30 00:00:00,2029-03-31 00:00:00,2025-02-14 09:49:10,Normal,285236351.0,11134281920035.0,ACTIVE,0.0,2025-02-10 15:46:51,,"Freehold G+1 Townhouses consisting of 122 nos. of 3Bedroom and 122 nos. of 4Bedroom
",Madinat Al Mataar,Dubai South,0,0.0,244.0,0.0,
3559,Timez By Danube,1009,DANUBE PROPERTIES DEVELOPMENT L.L.C,2025-04-01 00:00:00,2028-07-31 00:00:00,2025-02-13 00:00:00,Normal,562015913.0,200829193.0,ACTIVE,1.18,2025-06-24 18:52:44,,"A multi-use building (1 basements + ground floor + 3 platforms + 38 floors + roof) on plot No. 095-25 in Dubai Silicon Oasis, Dubai, United Arab Emirates ",Nadd Hessa,Dubai Silicon Oasis Authority,0,0.0,0.0,1153.0,
3560,Zyra Vista Residences ,2127,LARAIX DEVELOPERS L.L.C,2025-04-05 00:00:00,2027-03-31 00:00:00,2025-04-25 10:32:30,Normal,15000000.0,200835372.0,ACTIVE,0.0,2025-03-20 19:07:54,,Residential Building(B+G+6Floors+Roof),Warsan Fourth,Trakhees,0,0.0,0.0,51.0,
3562,Al Haseen Residence 4,1157,DUGASTA PROPERTIES DEVELOPMENT L.L.C,2025-06-29 00:00:00,2026-12-30 00:00:00,2025-04-04 09:27:49,Normal,50000000.0,205771071202.0,ACTIVE,0.0,2025-02-12 08:52:28,,B+G+5+R,Saih Shuaib 2,Dubai Development Authority (DDA),0,0.0,0.0,248.0,
3563,WASL BY AZIZI ,1002,AZIZI DEVELOPMENTS L.L.C,2025-02-12 00:00:00,2028-02-12 00:00:00,2025-04-08 11:10:07,Normal,84600000.0,1009857309.0,ACTIVE,0.0,2025-02-17 15:29:45,,Proposed 3B+G+13+R - Hotel APARTMENT BUILDING,Palm Deira,Trakhees,0,0.0,0.0,227.0,
3564,Kensington Gardens,1494,LEOS DEVELOPMENT L.L.C,2025-06-25 00:00:00,2027-09-27 00:00:00,2025-07-14 10:40:30,Normal,120000000.0,3718466221506.0,ACTIVE,0.0,2025-02-12 16:57:26,,"Kensington Gardens transforms luxury living in Dubai with its petal-inspired design, blending organic elegance with modern opulence. Inspired by Tuscany?s famed hot springs, it features an infinity sky beach, cascading jacuzzis, and world-class amenities, offering 294 exclusive residences, including sky villas. All units includes private pools, for a truly sophisticated lifestyle.

Kensington Gardens enjoys a prime location with excellent accessibility to Dubai's major highways, E311 and E611, offering seamless connections to key destinations such as Downtown Dubai, Dubai Marina, and both city airports. With the addition of the new metro line, residents benefit from effortless connectivity to Dubai's prime locations, making Dubailand a top choice for modern urban living.",Wadi Al Safa 5,Dubai Development Authority (DDA),0,0.0,0.0,361.0,
3566,Azizi Emerald ,1002,AZIZI DEVELOPMENTS L.L.C,2025-02-13 00:00:00,2028-02-13 00:00:00,2025-04-07 14:04:18,Normal,46500000.0,1009857234.0,ACTIVE,0.0,2025-02-14 09:13:24,,"Proposed 3B+G+4P+11+R offices building with retail

",Um Hurair Second,Dubai Development Authority (DDA),0,0.0,0.0,102.0,
3567,Expo City Al Waha Residences 02,2197,EXPO CITY AL WAHA RESIDENCES DEVELOPMENT FZCO,2025-07-01 00:00:00,2027-06-30 00:00:00,2025-02-27 00:00:00,Normal,243424660.0,205913059804.0,ACTIVE,48.21,2025-05-14 09:48:30,,"A full basement level constructed over the entire project footprint, along with three buildings comprising Ground Floor + First Floor + Roof: (Al Waha 27, Al Waha 31, Al Waha 38, & Al Waha 40), sixteen buildings comprising Ground Floor + Two Floors + Roof: (Al Waha 22, Al Waha 23, Al Waha 24, Al Waha 25, Al Waha 26, Al Waha 28, Al Waha 29, Al Waha 30, Al Waha 32, Al Waha 33, Al Waha 34, Al Waha 35, Al Waha 36, Al Waha 37, Al Waha 39, & Al Waha 41) & One building comprising Ground Floor + Three Floors + Roof: (Al Waha 42). 
This brings the total number of buildings to 21, with a total of 284 residential units and 4 commercial spaces. 
",Madinat Al Mataar,Dubai Municipality,0,0.0,0.0,280.0,
3568,LUXURY CANAL RESIDENCES,2073,PRESTIGE HARBOUR REAL ESTATE DEVELOPMENT L.L.C,2025-07-01 00:00:00,2027-11-30 00:00:00,2025-03-10 12:45:28,Normal,30000000.0,3538491084806.0,ACTIVE,0.0,2025-02-14 13:57:31,,G+2P+12+Roof,Palm Deira,Trakhees,0,0.0,0.0,73.0,
3569,MAG 11,1970,MAG W5 PROPERTY DEVELOPMENT L.L.C,2025-06-01 00:00:00,2028-07-26 00:00:00,,Normal,751346101.0,,PENDING,0.0,2025-02-14 16:48:50,,7 residential buildings ( GF+ P+7+R),Wadi Al Safa 3,,0,0.0,0.0,990.0,
3570,Sunset Bay Two By Imtiaz,1129,IMTIAZ REAL ESTATE INVESTMENT & DEVELOPMENT L.L.C,2025-02-20 00:00:00,2027-02-20 00:00:00,2025-02-28 11:51:43,Normal,32012251.0,1011225608110046.0,ACTIVE,9.85,2025-09-09 11:08:15,,G+2P+8+R ,Palm Deira,Trakhees,0,0.0,0.0,66.0,
3571,The Willows Residences,2185,SCC VERTEX PROPERTY L.L.C,2025-10-01 00:00:00,2027-06-30 00:00:00,2025-05-15 14:16:49,Normal,18000000.0,12019069387.0,ACTIVE,0.0,2025-04-24 14:27:36,,The Willows Residences is a 6 floor building with a basement. It has 54 apartments and 7 world class amenities. The apartment building focusses on exclusivity and premium aspects. ,Wadi Al Safa 3,Dubai Municipality,0,0.0,0.0,56.0,
3572,Celestara Residences,2014,ALDHANA REAL ESTATE DEVELOPMENT L.L.C,2025-05-20 00:00:00,2028-05-19 00:00:00,2025-06-19 11:53:07,Normal,40000000.0,3003199100000002.0,ACTIVE,0.0,2025-03-12 10:04:53,,G+5P+13Floors,Al Barsha South Fourth,Trakhees,0,0.0,0.0,121.0,
3573,Selora Residences,1727,SWANK REAL ESTATE DEVELOPMENT L.L.C,2025-05-30 00:00:00,2027-04-30 00:00:00,2025-04-08 13:49:26,Normal,50250000.0,3718467862005.0,ACTIVE,0.0,2025-02-25 12:13:04,,G+2 MASTER PLAN COMMUNITY OF 30 VILLAS. The project designed to have a concrete structure and block with internal and external finishes.,Wadi Al Safa 3,Dubai Municipality,0,0.0,30.0,0.0,
3574,Bottega Nove,1458,AL ANDALUS COURT YARD REAL ESTATE DEVELOPMENT L.L.C,2025-02-25 00:00:00,2026-10-24 00:00:00,,Normal,63880000.0,,ACTIVE,0.0,2025-03-03 14:16:00,,Residential and Commercial Building G+P+9FLRS+ROOF,Wadi Al Safa 3,,0,0.0,0.0,60.0,
3575,KYOMI RESIDENCE,1455,ANAX DEVELOPMENTS L.L.C,2025-02-01 00:00:00,2027-02-01 00:00:00,,Normal,20000000.0,,PENDING,0.0,2025-02-19 21:13:40,,Mixed Used Building (G+1P+6),Warsan Fourth,,1,0.0,0.0,0.0,
3576,VERDANIA 2,1894,OBJ1 REAL ESTATE DEVELOPMENT L.L.C,2025-06-04 00:00:00,2027-03-30 00:00:00,2025-06-12 15:42:45,Normal,36000000.0,19428092.0,ACTIVE,0.12,2025-07-24 11:48:37,,B+G+11+R Residential Building,Wadi Al Safa 5,Dubai Development Authority (DDA),0,0.0,0.0,108.0,
3577,Sensia,1876,SENSIA LAND REAL ESTATE DEVELOPMENT LLC,2025-09-30 00:00:00,2029-03-30 00:00:00,2025-02-28 12:13:10,Normal,217000000.0,205909074502.0,ACTIVE,0.06,2025-07-27 14:13:51,,"Mixed use (Residential-Retail), UG+G+3P+HC+34 Residential floors+R.The project designed to have a concrete structure and block with internal and external finishes.",Madinat Dubai Almelaheyah,Trakhees,0,0.0,0.0,276.0,
3578,Golf Verge,1155,EMAAR DUBAI SOUTH DWC LLC,2025-08-20 00:00:00,2029-05-31 00:00:00,2025-03-07 11:53:09,Normal,230714198.0,19000088178.0,ACTIVE,0.0,2025-02-21 11:09:08,,"Residential Building Ground + Shared Podium + building 12 floor & building 9 floor
",Madinat Al Mataar,Dubai South,0,0.0,0.0,204.0,
3579,Golf Meadow,1155,EMAAR DUBAI SOUTH DWC LLC,2025-08-20 00:00:00,2029-07-31 00:00:00,2025-03-07 12:05:46,Normal,209493058.0,19000088174.0,ACTIVE,0.0,2025-02-21 11:05:46,,"G+P+15 Floors Residential Building 
",Madinat Al Mataar,Dubai South,0,0.0,0.0,224.0,
3580,The Oasis - Address Villas - Tierra,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-05-07 00:00:00,2029-06-30 00:00:00,2025-03-04 13:35:34,Normal,2800504530.0,3538215410316.0,ACTIVE,0.0,2025-02-22 15:12:03,,"Residential development consisting of 487 villas (B+G+2)
",Me'Aisem Second,Dubai Municipality,0,0.0,487.0,0.0,
3581,The Oasis - Palace Villas - Ostra,1211,EMAAR DEVELOPMENT P.J.S.C.,2025-08-05 00:00:00,2029-09-30 00:00:00,2025-03-06 11:42:24,Normal,3033696240.0,4031221997653051.0,ACTIVE,0.28,2025-08-29 17:26:46,,"Residential development consisting of 526 villas (B+G+2)
",Me'Aisem Second,Dubai Municipality,0,0.0,526.0,0.0,
3584,Nexara Tower,2029,SEVENTH KEY GATEWAY REAL ESTATE DEVELOPMENT L.L.C,2025-04-15 00:00:00,2028-04-16 00:00:00,2025-06-23 13:06:23,Normal,80000000.0,1001168010000002.0,ACTIVE,0.0,2025-04-22 10:45:24,,Mix Use Building (G+4P+34+ROOF),Al Barsha South Fourth,Trakhees,0,0.0,0.0,187.0,
3585,Binghatti Aquarise,1051,Binghatti Developers FZE,2025-03-15 00:00:00,2026-10-31 00:00:00,2025-04-16 15:40:05,Normal,1395123011.0,9009226759924004.0,ACTIVE,0.0,2025-02-25 11:13:08,,3B + G + MEZZ.+ 25 RESIDENTIAL FLOORS + MECH+ ROOF,Business Bay,Dubai Development Authority (DDA),0,0.0,0.0,1584.0,
3586,The Acres 2 & Estates 2,1510,DHRE 2 BTS L.L.C,2025-05-03 00:00:00,2028-05-03 00:00:00,2025-03-13 12:51:39,Normal,980770000.0,205823036005.0,ACTIVE,0.6,2025-08-22 18:56:41,,"Residential project consists of 266 Villas (G+1, G+2) 3, 4, 5, 6 & 7 Bedrooms Villas 
U+A: G+1 = 89 Villas, and G+2 = 124 Villas 

LOCI: G+1 = 46 Villas, and G+2 = 7 Villas 
",Wadi Al Safa 7,Dubai Development Authority (DDA),0,0.0,266.0,0.0,
3587,Rabdan Gates,1533,RABDAN REAL ESTATE DEVELOPMENT L.L.C,2025-06-01 00:00:00,2028-06-30 00:00:00,2025-06-02 12:26:42,Normal,200000000.0,3001748107000.0,ACTIVE,0.0,2025-09-02 13:52:04,,"3B+G+3P+22+R Mixed-/use Residential & Retail Building, 437 Residential units + 8 retail units= 445 units",Wadi Al Safa 3,Dubai Development Authority (DDA),0,0.0,0.0,445.0,
3589,CASA AHS,1865,AHS CANAL THREE DEVELOPMENT L.L.C,2025-06-01 00:00:00,2027-05-31 00:00:00,2025-04-08 11:31:55,Normal,100000000.0,205748825703.0,ACTIVE,1.95,2025-02-27 09:36:32,,Project consists of 3B + G + 16 building comprising of residential units. it is designed to have a concrete structure and block with internal and external finishes,Al Wasl,Dubai Municipality,0,0.0,0.0,33.0,
3591,Golden Woods Albab Views,2246,A G W REAL ESTATE DEVELOPMENT L.L.C,2025-03-01 00:00:00,2027-02-28 00:00:00,2025-05-30 09:34:39,Normal,28000000.0,19435520.0,ACTIVE,0.0,2025-02-27 19:04:10,,G+4+R Residential Building,Madinat Al Mataar,Dubai South,0,0.0,0.0,132.0,
3592,Symphony by Chaimaa,1166,DEVAL REAL ESTATE DEVELOPMENT L.L.C,2025-05-01 00:00:00,2026-11-01 00:00:00,,Normal,40742100.0,10489852820012.0,PENDING,0.0,2025-02-27 16:31:45,,"PROPOSED RESIDENTIAL WITH RETAILB2 LOW LEVEL+B2 HIGH LEVEL
+B1+G+8+TECHNICAL+H.CLUB FLOOR
",Wadi Al Safa 3,,0,0.0,0.0,71.0,
3593,D Villas,2043,DAR DG GLOBAL PROPERTIES L.L.C,2025-07-31 00:00:00,2028-12-31 00:00:00,2025-04-03 00:00:00,Normal,270000000.0,14041024920004.0,ACTIVE,0.0,2025-02-27 19:48:36,,"The project comprises 198 high-end luxury townhouses and associated amenities, strategically located adjacent to the prestigious Jumeirah Golf Estates (JGE) Community. The primary objective of the development is to seamlessly integrate urban sophistication with natural tranquility.
The project spans a 99,130 m? plot, encompassing 198 residential units. The development is planned across three designated parcels (6850656, 6850657, and 6850658) within the Jumeirah Golf Estates area, as illustrated in the location plan",Me'Aisem First,,0,0.0,198.0,0.0,
3593,D Villas,2043,DAR DG GLOBAL PROPERTIES L.L.C,2025-07-31 00:00:00,2028-12-31 00:00:00,2025-04-03 00:00:00,Normal,270000000.0,14041024920004.0,ACTIVE,0.0,2025-02-27 19:48:36,,"The project comprises 198 high-end luxury townhouses and associated amenities, strategically located adjacent to the prestigious Jumeirah Golf Estates (JGE) Community. The primary objective of the development is to seamlessly integrate urban sophistication with natural tranquility.
The project spans a 99,130 m? plot, encompassing 198 residential units. The development is planned across three designated parcels (6850656, 6850657, and 6850658) within the Jumeirah Golf Estates area, as illustrated in the location plan",Me'Aisem First,Trakhees,0,0.0,198.0,0.0,
3594,THE HILLGATE,1117,ELLINGTON PROPERTIES DEVELOPMENT L.L.C,2025-03-03 00:00:00,2028-06-30 00:00:00,2025-07-24 10:11:06,Normal,275970820.0,4031224708340005.0,ACTIVE,0.0,2025-03-07 15:17:05,,2 residential tower consisting of 3B+G+16F+R and 3B+G+13F+R,Nadd Hessa,Dubai Silicon Oasis Authority,0,0.0,0.0,356.0,
3596,STAMN YUNI,1943,STAMN REAL ESTATE DEVELOPMENT L.L.C,2025-07-01 00:00:00,2027-03-18 00:00:00,2025-04-11 21:49:53,Normal,32000000.0,13932122920003.0,ACTIVE,0.0,2025-03-05 20:34:04,,Basement+Ground floor+2 podium+typical 8 Floors+Roof,Al Satwa,Dubai Development Authority (DDA),0,0.0,0.0,88.0,
3597,Mangrove 2,2080,MANGROVE REAL ESTATE DEVELOPMENT L.L.C,2025-05-23 00:00:00,2026-09-23 00:00:00,2025-07-31 12:15:18,Normal,5530000.0,3001748265000.0,ACTIVE,0.0,2025-06-09 13:10:45,,B+G+4 Floors + Roof Commercial Offices and Retails,Wadi Al Safa 3,Dubai Development Authority (DDA),0,0.0,0.0,18.0,
3598,Monarch,1994,ZANE DEVELOPMENTS L.L.C,2025-04-01 00:00:00,2026-10-01 00:00:00,2025-05-07 15:06:36,Normal,53111164.0,19500000768.0,ACTIVE,0.0,2025-07-02 16:16:28,,G+5,Al Hebiah First,Dubai Development Authority (DDA),0,0.0,0.0,46.0,
3600,The Wilds 1 ,1656,AURORA SPV 2 L.L.C,2025-02-28 00:00:00,2029-01-31 00:00:00,2025-05-19 12:15:27,Normal,747589381.0,4031225788867002.0,ACTIVE,0.0,2025-03-06 09:58:32,,"The project consists of 29 Premium Villas on 29 plots Comprising 4BR (G+1) villas and 5BR (G+1) Villas. & 18 Ultra Luxury Villas on 18 plots Comprising 5BR (B+G+2) villas and 6BR (B+G+2) Villas. In addition to, 197 (G+1)
Individual Standard Villas on 197 Plots that are combination of 3,4 & 5-Bedroom units.
",Wadi Al Safa 3,Dubai Development Authority (DDA),0,0.0,244.0,0.0,
3601,ELEMENTAL 22,2229,ELEMENTAL DEVELOPMENTS L.L.C,2025-06-01 00:00:00,2028-05-31 00:00:00,2025-06-25 14:34:53,Normal,35000000.0,323543967002.0,ACTIVE,0.0,2025-05-09 10:15:40,,Mix Use Residential / Commercial Free Hold Building Ground + 3P + 8 Residential floors,Al Satwa,Dubai Development Authority (DDA),0,0.0,0.0,42.0,
3602,Elwood Estates ,966,SOBHA L.L.C,2025-07-15 00:00:00,2028-06-30 00:00:00,2025-04-29 10:59:49,Normal,688900962.0,1011224613244016.0,ACTIVE,0.0,2025-03-17 14:11:11,,"Proposed 225 Nos. Villas, G+1 & G+2 Floor Villas.
",Al Yufrah 1,Dubai Development Authority (DDA),0,0.0,225.0,0.0,
3603,FLOAREA OASIS,1542,MASHRIQ ELITE REAL ESTATE DEVELOPMENT L.L.C,2025-07-30 00:00:00,2028-12-30 00:00:00,2025-04-15 16:55:37,Normal,60000000.0,19500000764.0,ACTIVE,0.0,2025-03-20 11:58:00,,3B+G+13+R Residential Building,Wadi Al Safa 5,Dubai Development Authority (DDA),0,0.0,0.0,257.0,
3604,SUNSET BAY THREE BY IMTIAZ,2157,IMTIAZ SUNSET REAL ESTATE DEVELOPMENT L.L.C,2025-03-20 00:00:00,2027-03-20 00:00:00,2025-04-18 14:30:31,Normal,31007670.0,1031226743829005.0,ACTIVE,4.33,2025-09-09 11:11:52,,G+2P+8+R,Palm Deira,Trakhees,0,0.0,0.0,63.0,
3606,The Wilds 2 ,1656,AURORA SPV 2 L.L.C,2025-04-28 00:00:00,2029-02-28 00:00:00,2025-05-15 15:15:22,Normal,706981927.0,4031225788867003.0,ACTIVE,0.0,2025-03-11 12:00:21,,"The project consists of 29 Premium Villas on 29 plots Comprising 4BR (G+1) villas and 5BR (G+1) Villas. 16 Ultra Luxury Villas on 16 plots Comprising 5BR (B+G+2) villas and 6BR (B+G+2) Villas. In addition to 207 (G+1) Individual Standard Villas on 207 Plots that are combination of 3,4- & 5-Bedroom units.",Wadi Al Safa 3,Dubai Development Authority (DDA),0,0.0,252.0,0.0,
3607, The Wilds 3 ,1656,AURORA SPV 2 L.L.C,2025-07-28 00:00:00,2029-05-31 00:00:00,2025-05-16 11:05:33,Normal,566659260.0,4031225788867004.0,ACTIVE,0.0,2025-03-11 12:01:27,,"The project consists of 387 (G+1) Individual Standard Villas on 387 Plots that are combination of 3,4 & 5 Bedroom units.",Wadi Al Safa 3,Dubai Development Authority (DDA),0,0.0,387.0,0.0,
3608,Altan,1224,DUBAI CREEK HARBOUR L.L.C,2025-06-10 00:00:00,2029-07-31 00:00:00,2025-03-24 13:50:40,Normal,521115924.0,205668118511.0,ACTIVE,4.44,2025-09-12 15:53:56,,"Proposed Multi-story Residential Development 
(B+G+3P+53 Floor+Roof) Having 479 residential units
",Al Khairan First,Dubai Development Authority (DDA),0,0.0,0.0,479.0,
3609,Albero,1224,DUBAI CREEK HARBOUR L.L.C,2025-06-22 00:00:00,2029-09-30 00:00:00,2025-03-24 13:59:26,Normal,521067550.0,205668118509.0,ACTIVE,3.87,2025-09-12 15:56:34,,"Proposed Multi-story Residential Development 
(B+G+3P+53 Floor+Roof) Having 479 residential units
",Al Khairan First,Dubai Development Authority (DDA),0,0.0,0.0,479.0,
3610,Ayaan Heights I,1328,DIGO REAL ESTATE DEVELOPMENT (BR OF INVEST GROUP OVERSEAS (L L C) ),2025-10-01 00:00:00,2028-03-31 00:00:00,2025-06-20 12:39:25,Normal,100000000.0,4031226108985008.0,ACTIVE,0.0,2025-03-14 11:00:11,,"G+3P+20 residential floors 
",Bukadra,Dubai Municipality,0,0.0,0.0,130.0,
3611,SPARKLZ by Danube ,1009,DANUBE PROPERTIES DEVELOPMENT L.L.C,2025-06-01 00:00:00,2028-05-31 00:00:00,2025-04-14 14:41:52,Normal,220693720.0,19500000758.0,ACTIVE,0.06,2025-09-15 15:02:50,,Mixed use building ( Ground floor + 1podium +12 floors +Roof ) ,Jabal Ali First,Trakhees,0,0.0,0.0,358.0,
3612,Reem by vision,1806,CLEAR VISION REAL ESTATE DEVELOPMENT L.L.C,2025-05-31 00:00:00,2026-12-31 00:00:00,2025-05-02 10:08:15,Normal,40000000.0,12894184394.0,ACTIVE,0.0,2025-03-13 10:13:55,,G+1P+8floors+Roof (Residential+Clinic),Wadi Al Safa 2,Dubai Development Authority (DDA),0,0.0,0.0,200.0,
3613,Azizi Riviera 49,1002,AZIZI DEVELOPMENTS L.L.C,2025-03-13 00:00:00,2027-03-13 00:00:00,2025-09-19 16:51:14,Normal,95403743.0,1009889732.0,ACTIVE,33.95,2025-07-29 16:41:12,,3B+G+10+R Residential and Commercial. The project designed to have a concrete structure and block with internal and external finishes.,Al Merkadh,Dubai Municipality,0,0.0,0.0,158.0,
3614,Azizi Riviera 50,1002,AZIZI DEVELOPMENTS L.L.C,2025-03-13 00:00:00,2027-03-13 00:00:00,2025-09-22 13:59:43,Normal,90680932.0,10174999920262.0,ACTIVE,34.59,2025-07-26 11:14:37,,2B+G+7+R Residential and Commercial. The project designed to have a concrete structure and block with internal and external finishes.,Al Merkadh,Dubai Municipality,0,0.0,0.0,158.0,
3615,Azizi Riviera 53,1002,AZIZI DEVELOPMENTS L.L.C,2025-03-13 00:00:00,2027-03-13 00:00:00,2025-09-24 15:57:45,Normal,87338744.0,1009889641.0,ACTIVE,29.41,2025-07-26 11:51:00,,3B+G+10+R Residential and Commercial.The project designed to have a concrete structure and block with internal and external finishes.,Al Merkadh,Dubai Municipality,0,0.0,0.0,151.0,
3616,Azizi Riviera 55,1002,AZIZI DEVELOPMENTS L.L.C,2025-03-13 00:00:00,2027-03-13 00:00:00,2025-09-16 13:07:07,Normal,96338780.0,1009889609.0,ACTIVE,85.64,2025-07-29 17:14:20,,2B+G+8+R Residential and Commercial. The project designed to have a concrete structure and block with internal and external finishes.,Al Merkadh,Dubai Municipality,0,0.0,0.0,124.0,
3617,Azizi Riviera 56,1002,AZIZI DEVELOPMENTS L.L.C,2025-03-13 00:00:00,2027-03-13 00:00:00,,Normal,65941110.0,10174999920270.0,PENDING,67.69,2025-07-29 16:46:16,,2B+G+8+R Residential and Commercial.The project designed to have a concrete structure and block with internal and external finishes.,Al Merkadh,,0,0.0,0.0,82.0,
3618,ÙÙAzizi Riviera 60 ,1002,AZIZI DEVELOPMENTS L.L.C,2025-03-13 00:00:00,2027-03-13 00:00:00,2025-07-28 10:47:54,Normal,53148829.0,10174999920272.0,ACTIVE,54.34,2025-07-29 08:52:42,,2B+G+8+R Residential and Commercial. The project designed to have a concrete structure and block with internal and external finishes.,Al Merkadh,Dubai Municipality,0,0.0,0.0,82.0,
3619,Azizi Riviera 62 ,1002,AZIZI DEVELOPMENTS L.L.C,2025-03-13 00:00:00,2027-03-13 00:00:00,,Normal,85863848.0,10174999920268.0,PENDING,56.6,2025-07-29 16:52:05,,2B+G+8+R Residential and Commercial,Al Merkadh,,0,0.0,0.0,112.0,
3620,Luzora Residences,2105,D I A HOMES REAL ESTATE DEVELOPMENT L.L.C,2025-03-07 00:00:00,2027-01-06 00:00:00,2025-05-07 15:59:52,Normal,91700000.0,205907880402.0,ACTIVE,0.0,2025-03-20 11:17:36,,Proposed G+2P+8+ Roof Residential Building on Plot No 1010508 at Nakhlat Deira/UAE,Palm Deira,Trakhees,0,0.0,0.0,108.0,
3621,Cubital Heights 2,1536,OZEAN REAL ESTATE DEVELOPMENT L.L.C,2025-05-01 00:00:00,2027-05-01 00:00:00,,Normal,70000000.0,,PENDING,0.0,2025-03-15 14:17:17,,RESIDENTIAL & COMMERCIAL BUILDING B+G+2P+13+R,Jabal Ali First,,0,0.0,0.0,83.0,
3623,Olivia Gardens Residence,2262,SEGREX TERRA DEVELOPMENT L.L.C,2025-04-30 00:00:00,2027-04-30 00:00:00,2025-05-07 11:23:23,Normal,34900000.0,19423436.0,ACTIVE,0.0,2025-03-20 10:29:59,,G+2 Podiums + 8 Floor +Roof,Al Satwa,Dubai Development Authority (DDA),0,0.0,0.0,78.0,
3624,Rose Gardens 2,2093,ROZ REAL ESTATE DEVELOPMENT L.L.C,2025-02-11 00:00:00,2026-08-30 00:00:00,2025-05-05 09:55:54,Normal,36493282.25,205915669007.0,ACTIVE,0.0,2025-03-14 11:57:45,,"B+G+4+R
Residential Building",Al Barsha South Fourth,Trakhees,0,0.0,0.0,71.0,
3627,Hills View at Wasl Gate,1882,SUNCREST HILLS PROPERTY L.L.C,2025-06-30 00:00:00,2028-06-30 00:00:00,2025-05-20 21:35:42,Normal,117450000.0,12119036548.0,ACTIVE,0.0,2025-03-19 16:30:05,,Residential Building (G+1Podium+14 Typical Floors+Roof) ,Jabal Ali First,Dubai Municipality,0,0.0,0.0,350.0,
